14:22:19.553 -> boot
14:22:19.553 -> Start receiveer
14:22:19.624 -> ATTACH
14:22:19.624 -> 1
14:22:19.624 -> Listening on frequency: 915.00
14:53:38.216 -> request: Hello, node 2, message 3366, msg time 1599375440, tx time 402 ms, battery 357 v, temp 1195 C, humidity 9580 %, status 0x00, RSSI -102 dBm, SNR 7 dB, good/bad packets: 102/75
14:53:59.238 -> request: Hello, node 2, message 3367, msg time 1599375461, tx time 402 ms, battery 358 v, temp 1192 C, humidity 9584 %, status 0x00, RSSI -100 dBm, SNR 9 dB, good/bad packets: 103/76
14:54:20.232 -> request: Hello, node 2, message 3368, msg time 1599375482, tx time 403 ms, battery 357 v, temp 1192 C, humidity 9584 %, status 0x00, RSSI -98 dBm, SNR 8 dB, good/bad packets: 104/77
14:54:41.220 -> request: Hello, node 2, message 3369, msg time 1599375503, tx time 404 ms, battery 358 v, temp 1190 C, humidity 9584 %, status 0x00, RSSI -100 dBm, SNR 8 dB, good/bad packets: 105/78
14:55:02.207 -> request: Hello, node 2, message 3370, msg time 1599375524, tx time 403 ms, battery 358 v, temp 1190 C, humidity 9586 %, status 0x00, RSSI -100 dBm, SNR 9 dB, good/bad packets: 106/79
14:55:23.236 -> request: Hello, node 2, message 3371, msg time 1599375545, tx time 402 ms, battery 357 v, temp 1190 C, humidity 9587 %, status 0x00, RSSI -107 dBm, SNR 4 dB, good/bad packets: 107/80
14:55:44.231 -> request: Hello, node 2, message 3372, msg time 1599375566, tx time 404 ms, battery 358 v, temp 1190 C, humidity 9590 %, status 0x00, RSSI -104 dBm, SNR 2 dB, good/bad packets: 108/81
14:56:05.237 -> request: Hello, node 2, message 3373, msg time 1599375587, tx time 402 ms, battery 357 v, temp 1187 C, humidity 9587 %, status 0x00, RSSI -106 dBm, SNR 6 dB, good/bad packets: 109/82
14:56:26.249 -> request: Hello, node 2, message 3374, msg time 1599375608, tx time 403 ms, battery 358 v, temp 1187 C, humidity 9592 %, status 0x00, RSSI -112 dBm, SNR 0 dB, good/bad packets: 110/82
14:57:08.236 -> request: Hello, node 2, message 3376, msg time 1599375650, tx time 403 ms, battery 357 v, temp 1187 C, humidity 9591 %, status 0x00, RSSI -104 dBm, SNR 8 dB, good/bad packets: 111/85
14:57:29.230 -> request: Hello, node 2, message 3377, msg time 1599375671, tx time 404 ms, battery 357 v, temp 1184 C, humidity 9592 %, status 0x00, RSSI -103 dBm, SNR 7 dB, good/bad packets: 112/87
14:57:50.239 -> request: Hello, node 2, message 3378, msg time 1599375692, tx time 402 ms, battery 358 v, temp 1182 C, humidity 9594 %, status 0x00, RSSI -106 dBm, SNR 6 dB, good/bad packets: 113/87
14:58:11.225 -> request: Hello, node 2, message 3379, msg time 1599375713, tx time 404 ms, battery 357 v, temp 1184 C, humidity 9595 %, status 0x00, RSSI -106 dBm, SNR 6 dB, good/bad packets: 114/87
14:58:32.215 -> request: Hello, node 2, message 3380, msg time 1599375734, tx time 402 ms, battery 357 v, temp 1179 C, humidity 9596 %, status 0x00, RSSI -104 dBm, SNR 7 dB, good/bad packets: 115/88
14:58:53.230 -> request: Hello, node 2, message 3381, msg time 1599375755, tx time 404 ms, battery 357 v, temp 1177 C, humidity 9595 %, status 0x00, RSSI -104 dBm, SNR 7 dB, good/bad packets: 116/89
14:59:14.231 -> request: Hello, node 2, message 3382, msg time 1599375776, tx time 403 ms, battery 357 v, temp 1178 C, humidity 9597 %, status 0x00, RSSI -105 dBm, SNR 4 dB, good/bad packets: 117/89
14:59:35.252 -> request: Hello, node 2, message 3383, msg time 1599375797, tx time 402 ms, battery 357 v, temp 1178 C, humidity 9601 %, status 0x00, RSSI -107 dBm, SNR 4 dB, good/bad packets: 118/90
