# Nodes outside at S 1 line-of-sight) and S 2,3 (first position, line-of-sight blocked by house) 
# with the server outside. But the first lines are us walking out to the two points to position
# the nodes.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Start receiveer
Listening on frequency: 915.00

# at this point the nodes 2 and 3 are at 'pos 1'

Hello, node 1, message 509, tx time 404 ms, battery 353, RSSI -103 dBm, SNR 5 dB, good/bad packets: 538/113
Hello, node 1, message 510, tx time 403 ms, battery 357, RSSI -103 dBm, SNR 6 dB, good/bad packets: 539/113
Hello, node 1, message 511, tx time 403 ms, battery 352, RSSI -102 dBm, SNR 6 dB, good/bad packets: 540/113
Hello, node 1, message 512, tx time 403 ms, battery 348, RSSI -101 dBm, SNR 6 dB, good/bad packets: 541/113
Hello, node 1, message 513, tx time 405 ms, battery 356, RSSI -103 dBm, SNR 6 dB, good/bad packets: 542/113
Hello, node 1, message 514, tx time 404 ms, battery 355, RSSI -103 dBm, SNR 5 dB, good/bad packets: 543/114
Hello, node 1, message 515, tx time 404 ms, battery 357, RSSI -103 dBm, SNR 4 dB, good/bad packets: 544/114
Hello, node 1, message 516, tx time 404 ms, battery 359, RSSI -103 dBm, SNR 5 dB, good/bad packets: 545/114
Hello, node 1, message 517, tx time 403 ms, battery 355, RSSI -104 dBm, SNR 4 dB, good/bad packets: 546/114
Hello, node 1, message 518, tx time 403 ms, battery 355, RSSI -106 dBm, SNR 2 dB, good/bad packets: 547/114
Hello, node 1, message 519, tx time 403 ms, battery 358, RSSI -102 dBm, SNR 6 dB, good/bad packets: 548/115
Hello, node 1, message 520, tx time 404 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 549/115
Hello, node 3, message 533, tx time 402 ms, battery 339, RSSI -121 dBm, SNR -7 dB, good/bad packets: 550/115
Hello, node 1, message 521, tx time 406 ms, battery 360, RSSI -100 dBm, SNR 6 dB, good/bad packets: 551/115
Hello, node 3, message 534, tx time 401 ms, battery 339, RSSI -120 dBm, SNR -6 dB, good/bad packets: 552/115
Hello, node 1, message 522, tx time 404 ms, battery 363, RSSI -105 dBm, SNR 1 dB, good/bad packets: 553/115
Hello, node 3, message 535, tx time 403 ms, battery 339, RSSI -121 dBm, SNR -8 dB, good/bad packets: 554/115
Hello, node 1, message 523, tx time 403 ms, battery 363, RSSI -101 dBm, SNR 7 dB, good/bad packets: 555/115
Hello, node 1, message 524, tx time 403 ms, battery 362, RSSI -102 dBm, SNR 6 dB, good/bad packets: 556/115
Hello, node 1, message 525, tx time 403 ms, battery 360, RSSI -101 dBm, SNR 5 dB, good/bad packets: 557/116
Hello, node 1, message 526, tx time 404 ms, battery 358, RSSI -101 dBm, SNR 6 dB, good/bad packets: 558/117
Hello, node 1, message 527, tx time 404 ms, battery 359, RSSI -101 dBm, SNR 6 dB, good/bad packets: 559/117
Hello, node 1, message 528, tx time 404 ms, battery 351, RSSI -101 dBm, SNR 6 dB, good/bad packets: 560/118
Hello, node 1, message 529, tx time 403 ms, battery 356, RSSI -102 dBm, SNR 6 dB, good/bad packets: 561/119
Hello, node 1, message 530, tx time 403 ms, battery 355, RSSI -102 dBm, SNR 6 dB, good/bad packets: 562/120
Hello, node 1, message 531, tx time 403 ms, battery 357, RSSI -102 dBm, SNR 6 dB, good/bad packets: 563/121
Hello, node 1, message 532, tx time 405 ms, battery 357, RSSI -101 dBm, SNR 5 dB, good/bad packets: 564/121
Hello, node 1, message 533, tx time 404 ms, battery 357, RSSI -101 dBm, SNR 6 dB, good/bad packets: 565/122
Hello, node 1, message 534, tx time 404 ms, battery 357, RSSI -100 dBm, SNR 7 dB, good/bad packets: 566/122
Hello, node 1, message 535, tx time 403 ms, battery 358, RSSI -101 dBm, SNR 7 dB, good/bad packets: 567/122
Hello, node 1, message 536, tx time 403 ms, battery 358, RSSI -101 dBm, SNR 6 dB, good/bad packets: 568/122
Hello, node 1, message 537, tx time 403 ms, battery 358, RSSI -101 dBm, SNR 7 dB, good/bad packets: 569/122
Hello, node 1, message 538, tx time 403 ms, battery 358, RSSI -101 dBm, SNR 6 dB, good/bad packets: 570/122
Hello, node 1, message 539, tx time 406 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 571/122
Hello, node 1, message 540, tx time 404 ms, battery 359, RSSI -101 dBm, SNR 6 dB, good/bad packets: 572/123
Hello, node 1, message 541, tx time 404 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 573/124
Hello, node 1, message 542, tx time 403 ms, battery 357, RSSI -101 dBm, SNR 6 dB, good/bad packets: 574/124
Hello, node 1, message 543, tx time 403 ms, battery 355, RSSI -102 dBm, SNR 6 dB, good/bad packets: 575/124
Hello, node 1, message 544, tx time 403 ms, battery 355, RSSI -103 dBm, SNR 5 dB, good/bad packets: 576/124
Hello, node 1, message 545, tx time 404 ms, battery 362, RSSI -101 dBm, SNR 6 dB, good/bad packets: 577/125
Hello, node 1, message 546, tx time 404 ms, battery 359, RSSI -101 dBm, SNR 6 dB, good/bad packets: 578/125
Hello, node 3, message 559, tx time 401 ms, battery 339, RSSI -120 dBm, SNR -6 dB, good/bad packets: 579/125
Hello, node 1, message 547, tx time 404 ms, battery 359, RSSI -100 dBm, SNR 7 dB, good/bad packets: 580/125
Hello, node 1, message 548, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 581/126
Hello, node 1, message 549, tx time 405 ms, battery 359, RSSI -103 dBm, SNR 5 dB, good/bad packets: 582/127
Hello, node 1, message 550, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 583/128
Hello, node 1, message 551, tx time 404 ms, battery 359, RSSI -103 dBm, SNR 6 dB, good/bad packets: 584/129
Hello, node 2, message 563, tx time 402 ms, battery 345, RSSI -114 dBm, SNR -1 dB, good/bad packets: 585/129
Hello, node 1, message 552, tx time 406 ms, battery 359, RSSI -103 dBm, SNR 6 dB, good/bad packets: 586/130
Hello, node 1, message 553, tx time 404 ms, battery 358, RSSI -103 dBm, SNR 6 dB, good/bad packets: 587/130
Hello, node 1, message 554, tx time 403 ms, battery 358, RSSI -102 dBm, SNR 6 dB, good/bad packets: 588/131
Hello, node 1, message 555, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 589/131
Hello, node 1, message 556, tx time 405 ms, battery 359, RSSI -104 dBm, SNR 5 dB, good/bad packets: 590/131
Hello, node 2, message 568, tx time 403 ms, battery 345, RSSI -115 dBm, SNR -2 dB, good/bad packets: 591/131
Hello, node 1, message 557, tx time 403 ms, battery 359, RSSI -103 dBm, SNR 7 dB, good/bad packets: 592/132
Hello, node 1, message 558, tx time 404 ms, battery 359, RSSI -103 dBm, SNR 5 dB, good/bad packets: 593/132
Hello, node 2, message 570, tx time 402 ms, battery 345, RSSI -116 dBm, SNR -4 dB, good/bad packets: 594/132
Hello, node 1, message 559, tx time 404 ms, battery 359, RSSI -104 dBm, SNR 4 dB, good/bad packets: 595/133
Hello, node 1, message 560, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 596/134
Hello, node 1, message 561, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 597/135
Hello, node 1, message 562, tx time 403 ms, battery 359, RSSI -101 dBm, SNR 6 dB, good/bad packets: 598/137
Hello, node 2, message 574, tx time 403 ms, battery 345, RSSI -120 dBm, SNR -6 dB, good/bad packets: 599/137
Hello, node 1, message 563, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 600/138
Hello, node 1, message 564, tx time 404 ms, battery 359, RSSI -104 dBm, SNR 5 dB, good/bad packets: 601/140
Hello, node 3, message 577, tx time 401 ms, battery 339, RSSI -121 dBm, SNR -7 dB, good/bad packets: 602/140
Hello, node 1, message 565, tx time 406 ms, battery 359, RSSI -103 dBm, SNR 6 dB, good/bad packets: 603/140
Hello, node 1, message 566, tx time 404 ms, battery 359, RSSI -104 dBm, SNR 5 dB, good/bad packets: 604/142
Hello, node 2, message 578, tx time 401 ms, battery 345, RSSI -119 dBm, SNR -6 dB, good/bad packets: 605/142
Hello, node 1, message 567, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 606/142
Hello, node 1, message 568, tx time 403 ms, battery 359, RSSI -101 dBm, SNR 6 dB, good/bad packets: 607/143
Hello, node 1, message 569, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 608/145
Hello, node 1, message 570, tx time 404 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 609/146
Hello, node 1, message 571, tx time 404 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 610/148
Hello, node 1, message 572, tx time 404 ms, battery 359, RSSI -101 dBm, SNR 6 dB, good/bad packets: 611/148
Hello, node 1, message 573, tx time 403 ms, battery 359, RSSI -105 dBm, SNR 4 dB, good/bad packets: 612/148
Hello, node 1, message 574, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 613/150
Hello, node 1, message 575, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 614/150
Hello, node 1, message 576, tx time 404 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 615/151
Hello, node 1, message 577, tx time 406 ms, battery 359, RSSI -101 dBm, SNR 6 dB, good/bad packets: 616/151
Hello, node 2, message 589, tx time 402 ms, battery 345, RSSI -117 dBm, SNR -3 dB, good/bad packets: 617/151
Hello, node 1, message 578, tx time 404 ms, battery 359, RSSI -103 dBm, SNR 6 dB, good/bad packets: 618/151
Hello, node 1, message 579, tx time 403 ms, battery 359, RSSI -101 dBm, SNR 6 dB, good/bad packets: 619/151
Hello, node 2, message 591, tx time 401 ms, battery 345, RSSI -120 dBm, SNR -7 dB, good/bad packets: 620/151
