# Nodes outside at S 1 line-of-sight) and S 2,3 (first position, line-of-sight blocked by house) 
# with the server outside. But the first lines are us walking out to the two points to position
# the nodes.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Start receiveer
Listening on frequency: 915.00
Hello, node 1, message 289, tx time 406 ms, battery 338, RSSI -59 dBm, SNR 9 dB, good/bad packets: 139/1
Hello, node 2, message 302, tx time 401 ms, battery 340, RSSI -65 dBm, SNR 9 dB, good/bad packets: 140/1
Hello, node 3, message 303, tx time 401 ms, battery 334, RSSI -65 dBm, SNR 9 dB, good/bad packets: 141/1
Hello, node 1, message 290, tx time 404 ms, battery 337, RSSI -68 dBm, SNR 9 dB, good/bad packets: 142/1
Hello, node 2, message 303, tx time 401 ms, battery 340, RSSI -57 dBm, SNR 9 dB, good/bad packets: 143/1
Hello, node 3, message 304, tx time 401 ms, battery 334, RSSI -57 dBm, SNR 10 dB, good/bad packets: 144/1
Hello, node 1, message 291, tx time 404 ms, battery 340, RSSI -61 dBm, SNR 9 dB, good/bad packets: 145/1
Hello, node 2, message 304, tx time 401 ms, battery 340, RSSI -64 dBm, SNR 9 dB, good/bad packets: 146/1
Hello, node 3, message 305, tx time 403 ms, battery 334, RSSI -71 dBm, SNR 9 dB, good/bad packets: 147/1
Hello, node 1, message 292, tx time 403 ms, battery 341, RSSI -63 dBm, SNR 9 dB, good/bad packets: 148/1
Hello, node 2, message 305, tx time 403 ms, battery 340, RSSI -61 dBm, SNR 9 dB, good/bad packets: 149/1
Hello, node 3, message 306, tx time 404 ms, battery 334, RSSI -71 dBm, SNR 9 dB, good/bad packets: 150/1
Hello, node 1, message 293, tx time 403 ms, battery 338, RSSI -58 dBm, SNR 9 dB, good/bad packets: 151/1
Hello, node 2, message 306, tx time 402 ms, battery 340, RSSI -69 dBm, SNR 9 dB, good/bad packets: 152/1
Hello, node 3, message 307, tx time 404 ms, battery 334, RSSI -82 dBm, SNR 9 dB, good/bad packets: 153/1
Hello, node 1, message 294, tx time 405 ms, battery 332, RSSI -58 dBm, SNR 9 dB, good/bad packets: 154/1
Hello, node 2, message 307, tx time 404 ms, battery 340, RSSI -67 dBm, SNR 10 dB, good/bad packets: 155/1
Hello, node 3, message 308, tx time 404 ms, battery 334, RSSI -76 dBm, SNR 9 dB, good/bad packets: 156/1
Hello, node 1, message 295, tx time 404 ms, battery 335, RSSI -56 dBm, SNR 9 dB, good/bad packets: 157/1
Hello, node 2, message 308, tx time 404 ms, battery 340, RSSI -68 dBm, SNR 9 dB, good/bad packets: 158/1
Hello, node 3, message 309, tx time 401 ms, battery 334, RSSI -67 dBm, SNR 9 dB, good/bad packets: 159/1
Hello, node 1, message 296, tx time 404 ms, battery 340, RSSI -61 dBm, SNR 9 dB, good/bad packets: 160/1
Hello, node 2, message 309, tx time 401 ms, battery 340, RSSI -55 dBm, SNR 9 dB, good/bad packets: 161/1
Hello, node 3, message 310, tx time 403 ms, battery 334, RSSI -66 dBm, SNR 9 dB, good/bad packets: 162/1
Hello, node 1, message 297, tx time 404 ms, battery 342, RSSI -52 dBm, SNR 9 dB, good/bad packets: 163/1
Hello, node 2, message 310, tx time 403 ms, battery 340, RSSI -56 dBm, SNR 9 dB, good/bad packets: 164/1
Hello, node 3, message 311, tx time 403 ms, battery 334, RSSI -68 dBm, SNR 10 dB, good/bad packets: 165/1
Hello, node 1, message 298, tx time 403 ms, battery 341, RSSI -53 dBm, SNR 9 dB, good/bad packets: 166/1
Hello, node 2, message 311, tx time 403 ms, battery 340, RSSI -56 dBm, SNR 9 dB, good/bad packets: 167/1
Hello, node 3, message 312, tx time 404 ms, battery 334, RSSI -67 dBm, SNR 11 dB, good/bad packets: 168/1
Hello, node 1, message 299, tx time 403 ms, battery 340, RSSI -53 dBm, SNR 9 dB, good/bad packets: 169/1
Hello, node 2, message 312, tx time 404 ms, battery 340, RSSI -57 dBm, SNR 9 dB, good/bad packets: 170/1
Hello, node 3, message 313, tx time 402 ms, battery 334, RSSI -66 dBm, SNR 9 dB, good/bad packets: 171/1
Hello, node 1, message 300, tx time 403 ms, battery 337, RSSI -52 dBm, SNR 9 dB, good/bad packets: 172/1
Hello, node 2, message 313, tx time 404 ms, battery 340, RSSI -56 dBm, SNR 10 dB, good/bad packets: 173/1
Hello, node 3, message 314, tx time 402 ms, battery 335, RSSI -67 dBm, SNR 9 dB, good/bad packets: 174/1
Hello, node 1, message 301, tx time 404 ms, battery 347, RSSI -52 dBm, SNR 9 dB, good/bad packets: 175/1
Hello, node 2, message 314, tx time 402 ms, battery 340, RSSI -56 dBm, SNR 9 dB, good/bad packets: 176/1
Hello, node 3, message 315, tx time 401 ms, battery 335, RSSI -67 dBm, SNR 9 dB, good/bad packets: 177/1
Hello, node 1, message 302, tx time 404 ms, battery 341, RSSI -53 dBm, SNR 9 dB, good/bad packets: 178/1
Hello, node 2, message 315, tx time 401 ms, battery 340, RSSI -57 dBm, SNR 9 dB, good/bad packets: 179/1
Hello, node 3, message 316, tx time 401 ms, battery 334, RSSI -68 dBm, SNR 9 dB, good/bad packets: 180/1
Hello, node 1, message 303, tx time 404 ms, battery 334, RSSI -51 dBm, SNR 10 dB, good/bad packets: 181/1
Hello, node 2, message 316, tx time 403 ms, battery 340, RSSI -56 dBm, SNR 10 dB, good/bad packets: 182/1
Hello, node 3, message 317, tx time 401 ms, battery 335, RSSI -68 dBm, SNR 9 dB, good/bad packets: 183/1
Hello, node 1, message 304, tx time 403 ms, battery 338, RSSI -52 dBm, SNR 9 dB, good/bad packets: 184/1
Hello, node 2, message 317, tx time 403 ms, battery 340, RSSI -57 dBm, SNR 9 dB, good/bad packets: 185/1
Hello, node 3, message 318, tx time 401 ms, battery 334, RSSI -67 dBm, SNR 9 dB, good/bad packets: 186/1
Hello, node 1, message 305, tx time 403 ms, battery 337, RSSI -53 dBm, SNR 9 dB, good/bad packets: 187/1
Hello, node 2, message 318, tx time 403 ms, battery 340, RSSI -56 dBm, SNR 9 dB, good/bad packets: 188/1
Hello, node 3, message 319, tx time 404 ms, battery 335, RSSI -67 dBm, SNR 10 dB, good/bad packets: 189/1
Hello, node 1, message 306, tx time 403 ms, battery 334, RSSI -53 dBm, SNR 9 dB, good/bad packets: 190/1
Hello, node 2, message 319, tx time 404 ms, battery 340, RSSI -57 dBm, SNR 9 dB, good/bad packets: 191/1
Hello, node 3, message 320, tx time 402 ms, battery 335, RSSI -67 dBm, SNR 9 dB, good/bad packets: 192/1
Hello, node 1, message 307, tx time 403 ms, battery 342, RSSI -53 dBm, SNR 9 dB, good/bad packets: 193/1
Hello, node 2, message 320, tx time 404 ms, battery 340, RSSI -57 dBm, SNR 9 dB, good/bad packets: 194/1
Hello, node 3, message 321, tx time 401 ms, battery 335, RSSI -66 dBm, SNR 9 dB, good/bad packets: 195/1
Hello, node 1, message 308, tx time 404 ms, battery 345, RSSI -52 dBm, SNR 9 dB, good/bad packets: 196/1
Hello, node 2, message 321, tx time 401 ms, battery 340, RSSI -57 dBm, SNR 9 dB, good/bad packets: 197/1
Hello, node 3, message 322, tx time 403 ms, battery 335, RSSI -67 dBm, SNR 9 dB, good/bad packets: 198/1
Hello, node 1, message 309, tx time 404 ms, battery 344, RSSI -53 dBm, SNR 9 dB, good/bad packets: 199/1
Hello, node 2, message 322, tx time 401 ms, battery 340, RSSI -57 dBm, SNR 9 dB, good/bad packets: 200/1
Hello, node 3, message 323, tx time 401 ms, battery 335, RSSI -68 dBm, SNR 9 dB, good/bad packets: 201/1
Hello, node 1, message 310, tx time 403 ms, battery 345, RSSI -53 dBm, SNR 9 dB, good/bad packets: 202/1
Hello, node 2, message 323, tx time 401 ms, battery 340, RSSI -58 dBm, SNR 9 dB, good/bad packets: 203/1
Hello, node 3, message 324, tx time 401 ms, battery 335, RSSI -71 dBm, SNR 10 dB, good/bad packets: 204/1
Hello, node 1, message 311, tx time 403 ms, battery 342, RSSI -57 dBm, SNR 9 dB, good/bad packets: 205/1
Hello, node 2, message 324, tx time 401 ms, battery 340, RSSI -67 dBm, SNR 9 dB, good/bad packets: 206/1
Hello, node 3, message 325, tx time 402 ms, battery 335, RSSI -54 dBm, SNR 9 dB, good/bad packets: 207/1
Hello, node 1, message 312, tx time 403 ms, battery 345, RSSI -63 dBm, SNR 9 dB, good/bad packets: 208/1
Hello, node 2, message 325, tx time 402 ms, battery 340, RSSI -51 dBm, SNR 9 dB, good/bad packets: 209/1
Hello, node 3, message 326, tx time 402 ms, battery 335, RSSI -50 dBm, SNR 9 dB, good/bad packets: 210/1
Hello, node 1, message 313, tx time 403 ms, battery 339, RSSI -63 dBm, SNR 10 dB, good/bad packets: 211/1
Hello, node 2, message 326, tx time 404 ms, battery 340, RSSI -69 dBm, SNR 9 dB, good/bad packets: 212/1
Hello, node 3, message 327, tx time 401 ms, battery 334, RSSI -60 dBm, SNR 9 dB, good/bad packets: 213/1
Hello, node 1, message 314, tx time 404 ms, battery 332, RSSI -58 dBm, SNR 9 dB, good/bad packets: 214/1
Hello, node 2, message 327, tx time 401 ms, battery 340, RSSI -58 dBm, SNR 9 dB, good/bad packets: 215/1
Hello, node 3, message 328, tx time 401 ms, battery 335, RSSI -80 dBm, SNR 9 dB, good/bad packets: 216/1
Hello, node 1, message 315, tx time 404 ms, battery 343, RSSI -75 dBm, SNR 9 dB, good/bad packets: 217/1
Hello, node 2, message 328, tx time 401 ms, battery 340, RSSI -72 dBm, SNR 9 dB, good/bad packets: 218/1
Hello, node 3, message 329, tx time 403 ms, battery 335, RSSI -65 dBm, SNR 9 dB, good/bad packets: 219/1
Hello, node 1, message 316, tx time 404 ms, battery 339, RSSI -73 dBm, SNR 9 dB, good/bad packets: 220/1
Hello, node 2, message 329, tx time 403 ms, battery 340, RSSI -70 dBm, SNR 10 dB, good/bad packets: 221/1
Hello, node 3, message 330, tx time 401 ms, battery 335, RSSI -74 dBm, SNR 9 dB, good/bad packets: 222/1
Hello, node 1, message 317, tx time 403 ms, battery 342, RSSI -75 dBm, SNR 9 dB, good/bad packets: 223/1
Hello, node 2, message 330, tx time 401 ms, battery 340, RSSI -81 dBm, SNR 10 dB, good/bad packets: 224/1
Hello, node 3, message 331, tx time 402 ms, battery 335, RSSI -77 dBm, SNR 9 dB, good/bad packets: 225/1
Hello, node 1, message 318, tx time 403 ms, battery 337, RSSI -81 dBm, SNR 9 dB, good/bad packets: 226/1
Hello, node 2, message 331, tx time 402 ms, battery 341, RSSI -86 dBm, SNR 10 dB, good/bad packets: 227/1
Hello, node 3, message 332, tx time 404 ms, battery 335, RSSI -81 dBm, SNR 9 dB, good/bad packets: 228/1
Hello, node 1, message 319, tx time 403 ms, battery 338, RSSI -77 dBm, SNR 10 dB, good/bad packets: 229/1
Hello, node 2, message 332, tx time 404 ms, battery 340, RSSI -74 dBm, SNR 10 dB, good/bad packets: 230/1
