# Indoors, forcing collisions. S2 and 3 are almost completely in sync.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.


Start receiveer
Listening on frequency: 915.00
Hello, node 1, message 50, tx time 404 ms, battery 351, RSSI -50 dBm, SNR 9 dB, good/bad packets: 134/7
Hello, node 3, message 49, tx time 2111 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 135/7
Hello, node 2, message 49, tx time 1003 ms, battery 340, RSSI -42 dBm, SNR 9 dB, good/bad packets: 136/7
Hello, node 1, message 51, tx time 404 ms, battery 351, RSSI -50 dBm, SNR 9 dB, good/bad packets: 137/7
Hello, node 2, message 50, tx time 2114 ms, battery 339, RSSI -43 dBm, SNR 9 dB, good/bad packets: 138/7
Hello, node 3, message 50, tx time 1106 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 139/7
Hello, node 1, message 52, tx time 404 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 140/7
Hello, node 2, message 51, tx time 1206 ms, battery 340, RSSI -43 dBm, SNR 9 dB, good/bad packets: 141/7
Hello, node 3, message 51, tx time 2206 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 142/7
Hello, node 1, message 53, tx time 403 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 143/7
Hello, node 2, message 52, tx time 1006 ms, battery 340, RSSI -43 dBm, SNR 8 dB, good/bad packets: 144/7
Hello, node 3, message 52, tx time 1610 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 145/7
Hello, node 1, message 54, tx time 403 ms, battery 350, RSSI -51 dBm, SNR 9 dB, good/bad packets: 146/7
Hello, node 3, message 53, tx time 2009 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 147/7
Hello, node 2, message 53, tx time 706 ms, battery 340, RSSI -43 dBm, SNR 9 dB, good/bad packets: 148/7
Hello, node 1, message 55, tx time 403 ms, battery 350, RSSI -50 dBm, SNR 9 dB, good/bad packets: 149/7
Hello, node 3, message 54, tx time 809 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 150/7
Hello, node 2, message 54, tx time 1706 ms, battery 340, RSSI -43 dBm, SNR 9 dB, good/bad packets: 151/7
Hello, node 1, message 56, tx time 404 ms, battery 350, RSSI -51 dBm, SNR 9 dB, good/bad packets: 152/7
Hello, node 2, message 55, tx time 2111 ms, battery 340, RSSI -43 dBm, SNR 9 dB, good/bad packets: 153/7
Hello, node 3, message 55, tx time 1206 ms, battery 335, RSSI -43 dBm, SNR 10 dB, good/bad packets: 154/7
Hello, node 1, message 57, tx time 404 ms, battery 350, RSSI -51 dBm, SNR 9 dB, good/bad packets: 155/7
Hello, node 3, message 56, tx time 2010 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 156/7
Hello, node 2, message 56, tx time 805 ms, battery 339, RSSI -42 dBm, SNR 9 dB, good/bad packets: 157/7
Hello, node 1, message 58, tx time 404 ms, battery 350, RSSI -50 dBm, SNR 10 dB, good/bad packets: 158/7
Hello, node 3, message 57, tx time 1309 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 159/7
Hello, node 2, message 57, tx time 1909 ms, battery 340, RSSI -43 dBm, SNR 9 dB, good/bad packets: 160/7
Hello, node 1, message 59, tx time 403 ms, battery 349, RSSI -50 dBm, SNR 9 dB, good/bad packets: 161/7
Hello, node 3, message 58, tx time 709 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 162/7
Hello, node 2, message 58, tx time 1206 ms, battery 339, RSSI -42 dBm, SNR 10 dB, good/bad packets: 163/7
Hello, node 1, message 60, tx time 403 ms, battery 349, RSSI -51 dBm, SNR 9 dB, good/bad packets: 164/7
Hello, node 3, message 59, tx time 707 ms, battery 335, RSSI -42 dBm, SNR 9 dB, good/bad packets: 165/7
Hello, node 2, message 59, tx time 1106 ms, battery 339, RSSI -42 dBm, SNR 9 dB, good/bad packets: 166/7
Hello, node 1, message 61, tx time 403 ms, battery 349, RSSI -50 dBm, SNR 9 dB, good/bad packets: 167/7
Hello, node 3, message 60, tx time 903 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 168/7
Hello, node 2, message 60, tx time 1306 ms, battery 339, RSSI -43 dBm, SNR 9 dB, good/bad packets: 169/7
Hello, node 1, message 62, tx time 403 ms, battery 349, RSSI -50 dBm, SNR 9 dB, good/bad packets: 170/7
Hello, node 2, message 61, tx time 1908 ms, battery 339, RSSI -43 dBm, SNR 9 dB, good/bad packets: 171/7
Hello, node 3, message 61, tx time 1106 ms, battery 335, RSSI -43 dBm, SNR 11 dB, good/bad packets: 172/7
Hello, node 1, message 63, tx time 404 ms, battery 349, RSSI -51 dBm, SNR 9 dB, good/bad packets: 173/7
Hello, node 2, message 62, tx time 707 ms, battery 340, RSSI -42 dBm, SNR 9 dB, good/bad packets: 174/7
Hello, node 3, message 62, tx time 1209 ms, battery 335, RSSI -42 dBm, SNR 9 dB, good/bad packets: 175/7
Hello, node 1, message 64, tx time 404 ms, battery 349, RSSI -50 dBm, SNR 9 dB, good/bad packets: 176/7
Hello, node 2, message 63, tx time 908 ms, battery 339, RSSI -43 dBm, SNR 9 dB, good/bad packets: 177/7
Hello, node 3, message 63, tx time 2108 ms, battery 335, RSSI -44 dBm, SNR 9 dB, good/bad packets: 178/7
Hello, node 1, message 65, tx time 404 ms, battery 349, RSSI -51 dBm, SNR 9 dB, good/bad packets: 179/7
Hello, node 3, message 64, tx time 1507 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 180/7
Hello, node 2, message 64, tx time 809 ms, battery 339, RSSI -43 dBm, SNR 9 dB, good/bad packets: 181/7
Hello, node 1, message 66, tx time 403 ms, battery 348, RSSI -50 dBm, SNR 9 dB, good/bad packets: 182/7
Hello, node 3, message 65, tx time 1004 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 183/7
Hello, node 2, message 65, tx time 2210 ms, battery 339, RSSI -43 dBm, SNR 9 dB, good/bad packets: 184/7
Hello, node 1, message 67, tx time 403 ms, battery 348, RSSI -51 dBm, SNR 9 dB, good/bad packets: 185/7
Hello, node 2, message 66, tx time 1108 ms, battery 339, RSSI -43 dBm, SNR 9 dB, good/bad packets: 186/7
Hello, node 3, message 66, tx time 606 ms, battery 335, RSSI -42 dBm, SNR 9 dB, good/bad packets: 187/7
Hello, node 1, message 68, tx time 403 ms, battery 349, RSSI -51 dBm, SNR 9 dB, good/bad packets: 188/7
Hello, node 3, message 67, tx time 1306 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 189/7
Hello, node 2, message 67, tx time 805 ms, battery 340, RSSI -43 dBm, SNR 9 dB, good/bad packets: 190/7
Hello, node 1, message 69, tx time 404 ms, battery 348, RSSI -50 dBm, SNR 9 dB, good/bad packets: 191/7
