Start receiveer
Listening on frequency: 915.00
Hello, node 2, message 53, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 111/3
Hello, node 3, message 61, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 112/3
Hello, node 2, message 54, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 113/3
Hello, node 3, message 62, tx time 404 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 114/3
Hello, node 2, message 55, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 115/3
Hello, node 3, message 63, tx time 404 ms, battery 334, RSSI-40 dBm, SNR 10 dB, good/bad packets: 116/3
Hello, node 2, message 56, tx time 404 ms, battery 339, RSSI-40 dBm, SNR 9 dB, good/bad packets: 117/3
Hello, node 3, message 64, tx time 404 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 118/3
Hello, node 2, message 57, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 119/3
Hello, node 3, message 65, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 120/3
Hello, node 2, message 58, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 121/3
Hello, node 3, message 66, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 122/3
Hello, node 2, message 59, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 123/3
Hello, node 3, message 67, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 124/3
Hello, node 2, message 60, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 125/3
Hello, node 3, message 68, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 126/3
Hello, node 2, message 61, tx time 403 ms, battery 339, RSSI-38 dBm, SNR 10 dB, good/bad packets: 127/3
Hello, node 3, message 69, tx time 404 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 128/3
Hello, node 2, message 62, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 129/3
Hello, node 3, message 70, tx time 404 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 130/3
Hello, node 2, message 63, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 10 dB, good/bad packets: 131/3
Hello, node 3, message 71, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 132/3
Hello, node 2, message 64, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 133/3
Hello, node 3, message 72, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 134/3
Hello, node 2, message 65, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 135/3
Hello, node 3, message 73, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 136/3
Hello, node 2, message 66, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 137/3
