17:26:10.887 -> boot
17:26:10.887 -> Start receiver
17:44:53.933 -> Hello, node 3, message 161, tx time 401 ms, battery 336, RSSI -115 dBm, SNR 3 dB, good/bad packets: 331/3
17:45:00.020 -> Hello, node 3, message 162, tx time 404 ms, battery 336, RSSI -115 dBm, SNR 3 dB, good/bad packets: 333/3
17:45:06.085 -> Hello, node 3, message 163, tx time 402 ms, battery 336, RSSI -114 dBm, SNR 4 dB, good/bad packets: 335/3
17:45:18.252 -> Hello, node 3, message 165, tx time 401 ms, battery 336, RSSI -119 dBm, SNR -1 dB, good/bad packets: 338/4
17:45:24.300 -> Hello, node 3, message 166, tx time 401 ms, battery 336, RSSI -127 dBm, SNR -6 dB, good/bad packets: 340/4
17:45:36.491 -> Hello, node 3, message 168, tx time 401 ms, battery 336, RSSI -123 dBm, SNR -3 dB, good/bad packets: 343/5
17:45:42.558 -> Hello, node 3, message 169, tx time 404 ms, battery 336, RSSI -122 dBm, SNR -2 dB, good/bad packets: 345/5
17:45:48.645 -> Hello, node 3, message 170, tx time 404 ms, battery 336, RSSI -116 dBm, SNR 0 dB, good/bad packets: 347/5
17:45:54.711 -> Hello, node 3, message 171, tx time 401 ms, battery 336, RSSI -116 dBm, SNR 0 dB, good/bad packets: 349/5
17:46:06.853 -> Hello, node 3, message 173, tx time 401 ms, battery 336, RSSI -114 dBm, SNR 3 dB, good/bad packets: 352/5
17:46:12.948 -> Hello, node 3, message 174, tx time 401 ms, battery 336, RSSI -116 dBm, SNR 0 dB, good/bad packets: 354/5
17:46:19.536 -> Hello, node 3, message 175, tx time 404 ms, battery 322, RSSI -116 dBm, SNR 0 dB, good/bad packets: 357/5
17:46:25.912 -> Hello, node 3, message 176, tx time 903 ms, battery 322, RSSI -109 dBm, SNR 6 dB, good/bad packets: 359/5
17:46:31.761 -> Hello, node 3, message 177, tx time 1206 ms, battery 323, RSSI -114 dBm, SNR 3 dB, good/bad packets: 361/5
17:46:38.070 -> Hello, node 3, message 178, tx time 1003 ms, battery 323, RSSI -115 dBm, SNR 2 dB, good/bad packets: 363/5
17:46:44.222 -> Hello, node 3, message 179, tx time 1208 ms, battery 323, RSSI -115 dBm, SNR 0 dB, good/bad packets: 365/5
17:46:50.098 -> Hello, node 3, message 180, tx time 1306 ms, battery 322, RSSI -116 dBm, SNR 1 dB, good/bad packets: 367/5
17:46:56.411 -> Hello, node 3, message 181, tx time 1106 ms, battery 323, RSSI -127 dBm, SNR -7 dB, good/bad packets: 369/5
17:47:07.647 -> Hello, node 3, message 183, tx time 1307 ms, battery 336, RSSI -115 dBm, SNR 1 dB, good/bad packets: 372/6
17:47:13.716 -> Hello, node 3, message 184, tx time 401 ms, battery 336, RSSI -97 dBm, SNR 9 dB, good/bad packets: 374/6
17:47:19.799 -> Hello, node 3, message 185, tx time 403 ms, battery 336, RSSI -93 dBm, SNR 10 dB, good/bad packets: 376/6
17:47:25.851 -> Hello, node 3, message 186, tx time 401 ms, battery 336, RSSI -101 dBm, SNR 9 dB, good/bad packets: 378/6
17:47:31.957 -> Hello, node 3, message 187, tx time 404 ms, battery 336, RSSI -99 dBm, SNR 9 dB, good/bad packets: 380/6
17:47:38.025 -> Hello, node 3, message 188, tx time 404 ms, battery 336, RSSI -101 dBm, SNR 9 dB, good/bad packets: 382/6
17:47:44.094 -> Hello, node 3, message 189, tx time 402 ms, battery 336, RSSI -102 dBm, SNR 9 dB, good/bad packets: 384/6
17:47:50.200 -> Hello, node 3, message 190, tx time 401 ms, battery 336, RSSI -101 dBm, SNR 9 dB, good/bad packets: 386/6
17:47:56.251 -> Hello, node 3, message 191, tx time 401 ms, battery 336, RSSI -96 dBm, SNR 9 dB, good/bad packets: 388/6
