Hello, node 2, message 27626, msg time 1599885798, tx time 404 ms, battery 357 v, temp 1662 C, humidity 7803 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60788/1768
Hello, node 2, message 27627, msg time 1599885819, tx time 402 ms, battery 357 v, temp 1662 C, humidity 7801 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60789/1768
Hello, node 2, message 27628, msg time 1599885840, tx time 404 ms, battery 357 v, temp 1662 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60790/1768
Hello, node 2, message 27629, msg time 1599885861, tx time 404 ms, battery 357 v, temp 1668 C, humidity 7799 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60791/1768
Hello, node 2, message 27630, msg time 1599885882, tx time 402 ms, battery 357 v, temp 1668 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60792/1768
Hello, node 2, message 27631, msg time 1599885903, tx time 403 ms, battery 357 v, temp 1669 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60793/1768
Hello, node 2, message 27632, msg time 1599885924, tx time 403 ms, battery 357 v, temp 1671 C, humidity 7799 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60794/1768
Hello, node 2, message 27633, msg time 1599885945, tx time 402 ms, battery 357 v, temp 1671 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60795/1768
Hello, node 2, message 27634, msg time 1599885966, tx time 404 ms, battery 357 v, temp 1673 C, humidity 7804 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60796/1768
Hello, node 2, message 27635, msg time 1599885987, tx time 403 ms, battery 356 v, temp 1673 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60797/1768
Hello, node 2, message 27636, msg time 1599886008, tx time 402 ms, battery 357 v, temp 1676 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60798/1768
Hello, node 2, message 27637, msg time 1599886029, tx time 404 ms, battery 356 v, temp 1677 C, humidity 7801 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60799/1769
Hello, node 2, message 27638, msg time 1599886050, tx time 403 ms, battery 357 v, temp 1679 C, humidity 7798 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60800/1769
Hello, node 2, message 27640, msg time 1599886092, tx time 404 ms, battery 356 v, temp 1679 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60801/1770
Hello, node 2, message 27641, msg time 1599886113, tx time 404 ms, battery 356 v, temp 1684 C, humidity 7803 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60802/1770
Hello, node 2, message 27642, msg time 1599886134, tx time 402 ms, battery 357 v, temp 1684 C, humidity 7800 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60803/1770
Hello, node 2, message 27643, msg time 1599886155, tx time 402 ms, battery 356 v, temp 1687 C, humidity 7800 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60804/1770
Hello, node 2, message 27644, msg time 1599886176, tx time 404 ms, battery 356 v, temp 1691 C, humidity 7800 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60805/1770
Hello, node 2, message 27645, msg time 1599886197, tx time 404 ms, battery 357 v, temp 1689 C, humidity 7798 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60806/1770
Hello, node 2, message 27646, msg time 1599886218, tx time 404 ms, battery 357 v, temp 1692 C, humidity 7805 %, status 0x00, RSSI -91 dBm, SNR 9 dB, good/bad packets: 60807/1770
Hello, node 2, message 27647, msg time 1599886239, tx time 403 ms, battery 356 v, temp 1692 C, humidity 7801 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60808/1770
Hello, node 2, message 27648, msg time 1599886260, tx time 402 ms, battery 357 v, temp 1694 C, humidity 7803 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60809/1770
Hello, node 2, message 27649, msg time 1599886282, tx time 402 ms, battery 357 v, temp 1695 C, humidity 7803 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60810/1770
