# Nodes outside at S 1 and S 2,3 pos 2 with the server outside, line-of-sight to nodes.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Hello, node 2, message 742, tx time 401 ms, battery 345, RSSI -99 dBm, SNR 8 dB, good/bad packets: 1009/188
Hello, node 3, message 743, tx time 401 ms, battery 339, RSSI -104 dBm, SNR 4 dB, good/bad packets: 1010/188
Hello, node 1, message 731, tx time 405 ms, battery 359, RSSI -101 dBm, SNR 7 dB, good/bad packets: 1011/188
Hello, node 2, message 743, tx time 401 ms, battery 345, RSSI -100 dBm, SNR 7 dB, good/bad packets: 1012/188
Hello, node 3, message 744, tx time 402 ms, battery 339, RSSI -103 dBm, SNR 6 dB, good/bad packets: 1013/188
Hello, node 1, message 732, tx time 405 ms, battery 359, RSSI -101 dBm, SNR 7 dB, good/bad packets: 1014/188
Hello, node 2, message 744, tx time 402 ms, battery 345, RSSI -104 dBm, SNR 5 dB, good/bad packets: 1015/188
Hello, node 3, message 745, tx time 402 ms, battery 339, RSSI -103 dBm, SNR 5 dB, good/bad packets: 1016/188
Hello, node 1, message 733, tx time 406 ms, battery 359, RSSI -99 dBm, SNR 7 dB, good/bad packets: 1017/188
Hello, node 2, message 745, tx time 402 ms, battery 345, RSSI -107 dBm, SNR 3 dB, good/bad packets: 1018/188
Hello, node 3, message 746, tx time 401 ms, battery 339, RSSI -106 dBm, SNR 3 dB, good/bad packets: 1019/188
Hello, node 1, message 734, tx time 404 ms, battery 359, RSSI -103 dBm, SNR 7 dB, good/bad packets: 1020/188
Hello, node 2, message 746, tx time 401 ms, battery 345, RSSI -98 dBm, SNR 8 dB, good/bad packets: 1021/188
Hello, node 3, message 747, tx time 401 ms, battery 339, RSSI -103 dBm, SNR 6 dB, good/bad packets: 1022/188
Hello, node 1, message 735, tx time 403 ms, battery 359, RSSI -103 dBm, SNR 7 dB, good/bad packets: 1023/188
Hello, node 2, message 747, tx time 403 ms, battery 345, RSSI -101 dBm, SNR 7 dB, good/bad packets: 1024/188
Hello, node 3, message 748, tx time 401 ms, battery 339, RSSI -102 dBm, SNR 7 dB, good/bad packets: 1025/188
Hello, node 1, message 736, tx time 403 ms, battery 359, RSSI -104 dBm, SNR 6 dB, good/bad packets: 1026/188
Hello, node 2, message 748, tx time 401 ms, battery 345, RSSI -101 dBm, SNR 7 dB, good/bad packets: 1027/188
Hello, node 3, message 749, tx time 401 ms, battery 339, RSSI -101 dBm, SNR 7 dB, good/bad packets: 1028/188
Hello, node 1, message 737, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 1029/188
Hello, node 2, message 749, tx time 403 ms, battery 345, RSSI -102 dBm, SNR 7 dB, good/bad packets: 1030/188
Hello, node 3, message 750, tx time 402 ms, battery 339, RSSI -104 dBm, SNR 5 dB, good/bad packets: 1031/188
Hello, node 1, message 738, tx time 403 ms, battery 359, RSSI -103 dBm, SNR 6 dB, good/bad packets: 1032/188
Hello, node 2, message 750, tx time 404 ms, battery 345, RSSI -100 dBm, SNR 8 dB, good/bad packets: 1033/188
Hello, node 3, message 751, tx time 402 ms, battery 339, RSSI -106 dBm, SNR 3 dB, good/bad packets: 1034/188
Hello, node 1, message 739, tx time 404 ms, battery 359, RSSI -102 dBm, SNR 7 dB, good/bad packets: 1035/188
Hello, node 2, message 751, tx time 404 ms, battery 345, RSSI -101 dBm, SNR 7 dB, good/bad packets: 1036/188
Hello, node 3, message 752, tx time 401 ms, battery 339, RSSI -105 dBm, SNR 5 dB, good/bad packets: 1037/188
Hello, node 1, message 740, tx time 404 ms, battery 359, RSSI -103 dBm, SNR 7 dB, good/bad packets: 1038/188
Hello, node 2, message 752, tx time 401 ms, battery 345, RSSI -102 dBm, SNR 7 dB, good/bad packets: 1039/188
Hello, node 3, message 753, tx time 401 ms, battery 339, RSSI -106 dBm, SNR 4 dB, good/bad packets: 1040/188
Hello, node 1, message 741, tx time 404 ms, battery 358, RSSI -102 dBm, SNR 7 dB, good/bad packets: 1041/188
Hello, node 2, message 753, tx time 401 ms, battery 345, RSSI -101 dBm, SNR 7 dB, good/bad packets: 1042/188
Hello, node 3, message 754, tx time 401 ms, battery 339, RSSI -106 dBm, SNR 4 dB, good/bad packets: 1043/188
Hello, node 1, message 742, tx time 403 ms, battery 358, RSSI -103 dBm, SNR 7 dB, good/bad packets: 1044/188
Hello, node 2, message 754, tx time 401 ms, battery 345, RSSI -100 dBm, SNR 8 dB, good/bad packets: 1045/188
Hello, node 3, message 755, tx time 403 ms, battery 339, RSSI -105 dBm, SNR 5 dB, good/bad packets: 1046/188
