Hello, node 1, message 6418, msg time 1598875479, tx time 404 ms, battery 355 v, temp 2498 C, humidity 2724 %, status 0x00, RSSI -64 dBm, SNR 9 dB, good/bad packets: 14873/1149
Hello, node 2, message 17, msg time 1599303891, tx time 403 ms, battery 361 v, temp 2443 C, humidity 2796 %, status 0x00, RSSI -37 dBm, SNR 10 dB, good/bad packets: 14874/1150
Hello, node 1, message 6419, msg time 1598875500, tx time 404 ms, battery 355 v, temp 2495 C, humidity 2730 %, status 0x00, RSSI -64 dBm, SNR 9 dB, good/bad packets: 14875/1150
Hello, node 2, message 18, msg time 1599303912, tx time 403 ms, battery 210 v, temp 2446 C, humidity 2798 %, status 0x00, RSSI -38 dBm, SNR 9 dB, good/bad packets: 14876/1150
Hello, node 1, message 6420, msg time 1598875521, tx time 403 ms, battery 355 v, temp 2498 C, humidity 2732 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14877/1150
Hello, node 2, message 19, msg time 1599303933, tx time 403 ms, battery 123 v, temp 2446 C, humidity 2794 %, status 0x00, RSSI -38 dBm, SNR 10 dB, good/bad packets: 14878/1150
Hello, node 1, message 6421, msg time 1598875542, tx time 404 ms, battery 355 v, temp 2498 C, humidity 2731 %, status 0x00, RSSI -64 dBm, SNR 9 dB, good/bad packets: 14879/1150
Hello, node 1, message 6422, msg time 1598875563, tx time 403 ms, battery 355 v, temp 2498 C, humidity 2726 %, status 0x00, RSSI -63 dBm, SNR 10 dB, good/bad packets: 14880/1150
Hello, node 2, message 1, msg time 1599303554, tx time 0 ms, battery 405 v, temp 2447 C, humidity 2819 %, status 0x00, RSSI -37 dBm, SNR 9 dB, good/bad packets: 14881/1150
Hello, node 1, message 6423, msg time 1598875584, tx time 403 ms, battery 355 v, temp 2500 C, humidity 2733 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14882/1150
Hello, node 2, message 2, msg time 1599303576, tx time 403 ms, battery 214 v, temp 2450 C, humidity 2803 %, status 0x00, RSSI -37 dBm, SNR 9 dB, good/bad packets: 14883/1150
Hello, node 1, message 6424, msg time 1598875605, tx time 404 ms, battery 355 v, temp 2500 C, humidity 2735 %, status 0x00, RSSI -64 dBm, SNR 9 dB, good/bad packets: 14884/1150
Hello, node 2, message 3, msg time 1599303597, tx time 403 ms, battery 121 v, temp 2449 C, humidity 2800 %, status 0x00, RSSI -37 dBm, SNR 9 dB, good/bad packets: 14885/1150
Hello, node 1, message 6425, msg time 1598875626, tx time 403 ms, battery 355 v, temp 2499 C, humidity 2742 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14886/1150
Hello, node 2, message 4, msg time 1599303618, tx time 403 ms, battery 351 v, temp 2450 C, humidity 2807 %, status 0x00, RSSI -37 dBm, SNR 9 dB, good/bad packets: 14887/1150
Hello, node 1, message 6426, msg time 1598875647, tx time 404 ms, battery 355 v, temp 2505 C, humidity 2738 %, status 0x00, RSSI -63 dBm, SNR 10 dB, good/bad packets: 14888/1150
Hello, node 2, message 5, msg time 1599303639, tx time 403 ms, battery 59 v, temp 2450 C, humidity 2801 %, status 0x00, RSSI -37 dBm, SNR 9 dB, good/bad packets: 14889/1150
Hello, node 1, message 6427, msg time 1598875668, tx time 403 ms, battery 355 v, temp 2505 C, humidity 2739 %, status 0x00, RSSI -61 dBm, SNR 9 dB, good/bad packets: 14890/1150
Hello, node 1, message 6428, msg time 1598875689, tx time 404 ms, battery 355 v, temp 2503 C, humidity 2743 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14891/1150
Hello, node 2, message 1, msg time 1599304645, tx time 0 ms, battery 405 v, temp 2450 C, humidity 2812 %, status 0x00, RSSI -38 dBm, SNR 9 dB, good/bad packets: 14892/1150
Hello, node 1, message 6429, msg time 1598875710, tx time 403 ms, battery 355 v, temp 2505 C, humidity 2738 %, status 0x00, RSSI -63 dBm, SNR 10 dB, good/bad packets: 14893/1150
Hello, node 2, message 2, msg time 1599304667, tx time 403 ms, battery 280 v, temp 2450 C, humidity 2809 %, status 0x00, RSSI -35 dBm, SNR 9 dB, good/bad packets: 14894/1150
Hello, node 1, message 6430, msg time 1598875731, tx time 403 ms, battery 355 v, temp 2505 C, humidity 2735 %, status 0x00, RSSI -63 dBm, SNR 10 dB, good/bad packets: 14895/1150
Hello, node 2, message 3, msg time 1599304688, tx time 403 ms, battery 84 v, temp 2450 C, humidity 2808 %, status 0x00, RSSI -37 dBm, SNR 9 dB, good/bad packets: 14896/1150
Hello, node 1, message 6431, msg time 1598875752, tx time 404 ms, battery 355 v, temp 2509 C, humidity 2739 %, status 0x00, RSSI -64 dBm, SNR 9 dB, good/bad packets: 14897/1150
Hello, node 2, message 4, msg time 1599304709, tx time 403 ms, battery 377 v, temp 2450 C, humidity 2810 %, status 0x00, RSSI -41 dBm, SNR 9 dB, good/bad packets: 14898/1150
Hello, node 1, message 6432, msg time 1598875773, tx time 403 ms, battery 355 v, temp 2509 C, humidity 2738 %, status 0x00, RSSI -61 dBm, SNR 9 dB, good/bad packets: 14899/1150
Hello, node 2, message 5, msg time 1599304730, tx time 403 ms, battery 187 v, temp 2449 C, humidity 2810 %, status 0x00, RSSI -47 dBm, SNR 9 dB, good/bad packets: 14900/1150
Hello, node 1, message 6433, msg time 1598875794, tx time 404 ms, battery 355 v, temp 2505 C, humidity 2742 %, status 0x00, RSSI -63 dBm, SNR 10 dB, good/bad packets: 14901/1150
Hello, node 2, message 6, msg time 1599304752, tx time 403 ms, battery 210 v, temp 2449 C, humidity 2815 %, status 0x00, RSSI -47 dBm, SNR 10 dB, good/bad packets: 14902/1150
Hello, node 1, message 6434, msg time 1598875815, tx time 403 ms, battery 355 v, temp 2512 C, humidity 2738 %, status 0x00, RSSI -61 dBm, SNR 9 dB, good/bad packets: 14903/1150
Hello, node 2, message 7, msg time 1599304774, tx time 403 ms, battery 159 v, temp 2449 C, humidity 2818 %, status 0x00, RSSI -49 dBm, SNR 9 dB, good/bad packets: 14904/1150
Hello, node 1, message 6435, msg time 1598875836, tx time 404 ms, battery 355 v, temp 2512 C, humidity 2742 %, status 0x00, RSSI -61 dBm, SNR 9 dB, good/bad packets: 14905/1150
Hello, node 2, message 8, msg time 1599304795, tx time 404 ms, battery 151 v, temp 2447 C, humidity 2825 %, status 0x00, RSSI -48 dBm, SNR 9 dB, good/bad packets: 14906/1150
Hello, node 1, message 6436, msg time 1598875857, tx time 403 ms, battery 355 v, temp 2510 C, humidity 2740 %, status 0x00, RSSI -63 dBm, SNR 9 dB, good/bad packets: 14907/1150
