17:26:10.887 -> boot
17:26:10.887 -> Start receiver
17:45:03.915 -> Hello, node 2, message 163, tx time 402 ms, battery 341, RSSI -117 dBm, SNR 0 dB, good/bad packets: 334/3
17:45:09.988 -> Hello, node 2, message 164, tx time 402 ms, battery 341, RSSI -116 dBm, SNR 0 dB, good/bad packets: 336/3
17:45:16.071 -> Hello, node 2, message 165, tx time 401 ms, battery 341, RSSI -113 dBm, SNR 4 dB, good/bad packets: 337/4
17:45:22.121 -> Hello, node 2, message 166, tx time 401 ms, battery 341, RSSI -116 dBm, SNR 0 dB, good/bad packets: 339/4
17:45:28.217 -> Hello, node 2, message 167, tx time 403 ms, battery 341, RSSI -113 dBm, SNR 2 dB, good/bad packets: 341/4
17:45:34.304 -> Hello, node 2, message 168, tx time 403 ms, battery 341, RSSI -115 dBm, SNR 1 dB, good/bad packets: 342/5
17:45:40.375 -> Hello, node 2, message 169, tx time 404 ms, battery 341, RSSI -115 dBm, SNR 1 dB, good/bad packets: 344/5
17:45:46.452 -> Hello, node 2, message 170, tx time 402 ms, battery 341, RSSI -113 dBm, SNR 3 dB, good/bad packets: 346/5
17:45:52.546 -> Hello, node 2, message 171, tx time 401 ms, battery 341, RSSI -113 dBm, SNR 4 dB, good/bad packets: 348/5
17:45:58.605 -> Hello, node 2, message 172, tx time 403 ms, battery 341, RSSI -107 dBm, SNR 7 dB, good/bad packets: 350/5
17:46:04.673 -> Hello, node 2, message 173, tx time 403 ms, battery 341, RSSI -108 dBm, SNR 7 dB, good/bad packets: 351/5
17:46:10.777 -> Hello, node 2, message 174, tx time 403 ms, battery 341, RSSI -103 dBm, SNR 9 dB, good/bad packets: 353/5
17:46:16.824 -> Hello, node 2, message 175, tx time 404 ms, battery 341, RSSI -113 dBm, SNR 4 dB, good/bad packets: 355/5

# restart node 2

17:46:18.925 -> Hello, node 2, message 1, tx time 0 ms, battery 341, RSSI -106 dBm, SNR 8 dB, good/bad packets: 356/5
17:46:24.994 -> Hello, node 2, message 2, tx time 404 ms, battery 341, RSSI -107 dBm, SNR 7 dB, good/bad packets: 358/5
17:46:31.079 -> Hello, node 2, message 3, tx time 403 ms, battery 341, RSSI -98 dBm, SNR 10 dB, good/bad packets: 360/5
17:46:37.174 -> Hello, node 2, message 4, tx time 403 ms, battery 341, RSSI -96 dBm, SNR 9 dB, good/bad packets: 362/5
17:46:43.243 -> Hello, node 2, message 5, tx time 403 ms, battery 341, RSSI -99 dBm, SNR 9 dB, good/bad packets: 364/5
17:46:49.311 -> Hello, node 2, message 6, tx time 404 ms, battery 341, RSSI -102 dBm, SNR 9 dB, good/bad packets: 366/5
17:46:55.396 -> Hello, node 2, message 7, tx time 404 ms, battery 341, RSSI -101 dBm, SNR 9 dB, good/bad packets: 368/5
